Membership No  Date Joined  Active  
    78615      2016-9-22    no    
    97078      2019-7-21    no    
    63308      2018-3-22    yes   
    81304      2015-5-4     no    
    72444      2017-2-12    yes   
    16634      2017-9-16    no    
    85073      2016-8-13    yes   
    16787      2015-11-22   no    
    41729      2019-11-18   yes   
    45307      2016-9-12    no    
    63430      2020-9-12    yes   
    41157      2018-6-5     yes   
    31801      2019-11-9    yes   
    45465      2015-7-2     yes   
    39499      2019-8-9     yes   
    76431      2020-7-21    yes   
    48289      2015-6-1     no    
    44116      2020-12-10   yes   
    38827      2017-11-15   no    
    62972      2020-10-12   no    
