Membership No  Date Joined  Active  
    12591      2015/6/13    no    
    50866      2019/6/13    no    
    31110      2015/7/21    no    
    31041      2020/5/24    no    
    13658      2015/8/18    no    
    85331      2019/3/20    no    
    87167      2017/12/12   no    
    39832      2016/5/1     no    
    96860      2019/1/6     no    
    75734      2015/7/3     no    
    18034      2016/3/9     no    
    82283      2016/3/4     no    
    78187      2018/11/9    no    
    95431      2017/3/3     no    
    28105      2017/8/11    no    
